DateOfBirth|DateOfBirthDate|Age
1/16/1942|1942-01-16|76
4/15/1934|1934-04-15|84
1/24/1968|1968-01-24|50
4/6/1940|1940-04-06|78
1/24/1987|1987-01-24|31
1/23/1982|1982-01-23|36
5/1/1969|1969-05-01|49
12/17/1937|1937-12-17|81
3/14/1937|1937-03-14|81
6/19/2015|2015-06-19|3
12/27/2001|2001-12-27|17
7/9/1980|1980-07-09|38
3/14/1996|1996-03-14|22
9/28/1977|1977-09-28|41
10/8/1969|1969-10-08|49
11/26/1952|1952-11-26|66
6/29/1943|1943-06-29|75
8/23/1988|1988-08-23|30
8/18/1959|1959-08-18|59
1/20/1959|1959-01-20|59
9/6/1964|1964-09-06|54
8/13/1983|1983-08-13|35
9/18/1949|1949-09-18|69
7/25/2007|2007-07-25|11
5/1/2006|2006-05-01|12
3/25/2005|2005-03-25|13
12/24/1938|1938-12-24|80
1/16/2002|2002-01-16|16
1/30/2015|2015-01-30|3
2/25/1960|1960-02-25|58
5/29/2015|2015-05-29|3
5/14/1981|1981-05-14|37
8/4/1964|1964-08-04|54
9/4/1982|1982-09-04|36
9/12/1957|1957-09-12|61
1/17/1994|1994-01-17|24
9/25/1960|1960-09-25|58
3/10/2016|2016-03-10|2
11/2/1993|1993-11-02|25
4/25/1938|1938-04-25|80
9/8/1962|1962-09-08|56
7/27/1989|1989-07-27|29
3/10/1980|1980-03-10|38
3/26/1938|1938-03-26|80
11/9/1936|1936-11-09|82
1/29/2011|2011-01-29|7
9/20/1957|1957-09-20|61
3/14/1940|1940-03-14|78
2/27/1979|1979-02-27|39
2/23/1936|1936-02-23|82
8/22/1960|1960-08-22|58
4/13/1972|1972-04-13|46
7/2/1980|1980-07-02|38
12/21/2007|2007-12-21|11
9/3/1973|1973-09-03|45
10/9/2013|2013-10-09|5
8/8/1949|1949-08-08|69
11/6/1943|1943-11-06|75
10/17/1942|1942-10-17|76
10/20/1972|1972-10-20|46
8/13/1981|1981-08-13|37
10/5/1938|1938-10-05|80
4/1/1989|1989-04-01|29
5/18/1981|1981-05-18|37
1/1/1981|1981-01-01|37
5/13/1943|1943-05-13|75
11/1/1953|1953-11-01|65
10/9/1981|1981-10-09|37
10/5/1958|1958-10-05|60
1/28/1945|1945-01-28|73
5/5/1970|1970-05-05|48
7/25/1946|1946-07-25|72
5/13/1976|1976-05-13|42
4/23/1954|1954-04-23|64
6/29/1967|1967-06-29|51
5/17/2006|2006-05-17|12
9/26/1970|1970-09-26|48
1/27/1949|1949-01-27|69
1/18/2003|2003-01-18|15
6/18/1944|1944-06-18|74
2/6/1967|1967-02-06|51
8/20/1962|1962-08-20|56
3/3/2005|2005-03-03|13
9/24/2007|2007-09-24|11
4/10/2013|2013-04-10|5
6/8/1978|1978-06-08|40
4/1/1948|1948-04-01|70
7/29/1961|1961-07-29|57
4/28/1969|1969-04-28|49
5/24/1952|1952-05-24|66
10/23/1999|1999-10-23|19
7/13/1977|1977-07-13|41
3/6/2000|2000-03-06|18
6/23/1986|1986-06-23|32
5/30/1996|1996-05-30|22
9/28/1980|1980-09-28|38
9/18/1979|1979-09-18|39
12/4/2001|2001-12-04|17
2/10/1985|1985-02-10|33
11/4/2017|2017-11-04|1
2/27/2014|2014-02-27|4
11/20/1998|1998-11-20|20
4/27/1945|1945-04-27|73
1/23/2005|2005-01-23|13
2/8/1989|1989-02-08|29
12/24/1988|1988-12-24|30
6/4/2000|2000-06-04|18
7/5/1975|1975-07-05|43
8/14/2013|2013-08-14|5
1/4/1961|1961-01-04|57
4/10/1971|1971-04-10|47
1/26/1942|1942-01-26|76
11/24/2014|2014-11-24|4
2/24/1960|1960-02-24|58
7/15/1993|1993-07-15|25
4/7/1979|1979-04-07|39
8/22/1965|1965-08-22|53
4/4/1995|1995-04-04|23
3/27/1988|1988-03-27|30
7/27/2013|2013-07-27|5
9/12/1959|1959-09-12|59
2/8/1933|1933-02-08|85
3/4/1946|1946-03-04|72
11/28/1994|1994-11-28|24
9/12/1940|1940-09-12|78
3/17/1943|1943-03-17|75
3/19/1991|1991-03-19|27
10/1/1943|1943-10-01|75
11/4/1982|1982-11-04|36
3/17/1998|1998-03-17|20
5/16/2002|2002-05-16|16
7/2/1972|1972-07-02|46
2/27/1934|1934-02-27|84
12/10/2016|2016-12-10|2
10/19/1976|1976-10-19|42
8/17/1938|1938-08-17|80
3/13/1999|1999-03-13|19
1/14/1950|1950-01-14|68
5/20/1941|1941-05-20|77
12/21/2011|2011-12-21|7
4/10/1966|1966-04-10|52
8/20/2007|2007-08-20|11
10/24/1987|1987-10-24|31
1/3/1948|1948-01-03|70
9/18/1977|1977-09-18|41
1/6/1934|1934-01-06|84
4/16/1941|1941-04-16|77
12/22/1983|1983-12-22|35
1/30/1961|1961-01-30|57
7/18/1985|1985-07-18|33
8/4/1974|1974-08-04|44
7/29/2014|2014-07-29|4
6/25/1986|1986-06-25|32
11/10/1979|1979-11-10|39
5/8/1981|1981-05-08|37
11/22/1941|1941-11-22|77
4/22/1962|1962-04-22|56
2/18/2002|2002-02-18|16
9/13/1959|1959-09-13|59
7/5/2013|2013-07-05|5
7/27/1988|1988-07-27|30
6/25/1998|1998-06-25|20
7/5/1994|1994-07-05|24
4/26/1964|1964-04-26|54
11/20/1994|1994-11-20|24
2/24/1950|1950-02-24|68
10/9/1988|1988-10-09|30
3/7/1946|1946-03-07|72
8/25/2008|2008-08-25|10
6/24/1942|1942-06-24|76
5/10/1961|1961-05-10|57
12/16/1996|1996-12-16|22
2/17/1939|1939-02-17|79
6/13/1972|1972-06-13|46
7/25/1979|1979-07-25|39
6/5/2002|2002-06-05|16
7/22/1961|1961-07-22|57
8/30/1942|1942-08-30|76
4/8/1966|1966-04-08|52
1/25/1989|1989-01-25|29
12/14/1937|1937-12-14|81
1/3/1971|1971-01-03|47
11/27/2011|2011-11-27|7
12/6/1976|1976-12-06|42
12/22/1945|1945-12-22|73
10/15/1988|1988-10-15|30
12/11/1994|1994-12-11|24
3/15/1951|1951-03-15|67
11/29/1960|1960-11-29|58
2/16/2015|2015-02-16|3
8/16/1955|1955-08-16|63
10/5/1948|1948-10-05|70
8/27/2013|2013-08-27|5
2/17/1969|1969-02-17|49
3/25/2014|2014-03-25|4
12/5/1944|1944-12-05|74
6/11/1976|1976-06-11|42
9/25/2003|2003-09-25|15
3/18/1953|1953-03-18|65
5/9/1946|1946-05-09|72
6/18/1942|1942-06-18|76
6/1/2004|2004-06-01|14
6/12/1976|1976-06-12|42
5/6/1966|1966-05-06|52
8/6/1987|1987-08-06|31
1/25/1969|1969-01-25|49
1/26/2017|2017-01-26|1
12/3/1987|1987-12-03|31
9/2/1933|1933-09-02|85
11/21/1981|1981-11-21|37
6/7/1942|1942-06-07|76
3/3/1947|1947-03-03|71
10/5/1990|1990-10-05|28
2/11/1997|1997-02-11|21
5/20/1970|1970-05-20|48
1/23/1944|1944-01-23|74
3/23/1973|1973-03-23|45
11/17/1963|1963-11-17|55
3/7/1934|1934-03-07|84
2/11/2012|2012-02-11|6
2/21/1964|1964-02-21|54
5/22/2011|2011-05-22|7
1/4/1968|1968-01-04|50
3/19/1961|1961-03-19|57
5/9/1966|1966-05-09|52
10/21/2002|2002-10-21|16
6/7/1983|1983-06-07|35
1/17/2009|2009-01-17|9
4/15/1965|1965-04-15|53
9/12/2002|2002-09-12|16
8/6/1946|1946-08-06|72
5/26/1998|1998-05-26|20
8/8/1991|1991-08-08|27
6/2/1985|1985-06-02|33
12/23/1949|1949-12-23|69
12/28/1950|1950-12-28|68
12/3/1977|1977-12-03|41
6/26/1956|1956-06-26|62
3/8/1983|1983-03-08|35
10/19/1958|1958-10-19|60
9/19/1980|1980-09-19|38
4/15/1953|1953-04-15|65
8/22/1994|1994-08-22|24
11/19/1986|1986-11-19|32
8/28/1934|1934-08-28|84
9/26/1969|1969-09-26|49
8/25/1981|1981-08-25|37
4/15/1976|1976-04-15|42
8/8/2014|2014-08-08|4
10/12/2010|2010-10-12|8
8/26/1964|1964-08-26|54
5/29/1986|1986-05-29|32
7/16/2003|2003-07-16|15
11/2/1960|1960-11-02|58
4/8/1996|1996-04-08|22
11/21/1972|1972-11-21|46
2/8/2009|2009-02-08|9
9/23/1965|1965-09-23|53
7/29/1995|1995-07-29|23
11/24/1974|1974-11-24|44
9/5/1960|1960-09-05|58
9/1/1995|1995-09-01|23
3/13/1958|1958-03-13|60
3/11/1970|1970-03-11|48
11/22/1980|1980-11-22|38
6/25/1992|1992-06-25|26
4/12/1943|1943-04-12|75
2/5/1973|1973-02-05|45
8/29/1933|1933-08-29|85
4/13/2007|2007-04-13|11
5/28/2008|2008-05-28|10
4/14/2001|2001-04-14|17
10/26/1959|1959-10-26|59
1/9/1968|1968-01-09|50
7/18/1946|1946-07-18|72
4/28/1938|1938-04-28|80
7/21/2012|2012-07-21|6
11/28/2000|2000-11-28|18
10/2/1959|1959-10-02|59
12/10/2013|2013-12-10|5
11/4/2009|2009-11-04|9
11/1/1943|1943-11-01|75
10/30/1964|1964-10-30|54
12/27/1973|1973-12-27|45
2/7/1956|1956-02-07|62
3/20/1953|1953-03-20|65
2/14/2007|2007-02-14|11
2/25/2004|2004-02-25|14
10/26/1982|1982-10-26|36
9/27/1946|1946-09-27|72
6/12/1962|1962-06-12|56
11/19/2006|2006-11-19|12
2/18/1964|1964-02-18|54
8/1/1975|1975-08-01|43
11/16/1979|1979-11-16|39
8/28/1983|1983-08-28|35
9/9/1949|1949-09-09|69
2/13/1963|1963-02-13|55
7/16/1990|1990-07-16|28
1/13/2014|2014-01-13|4
1/8/1995|1995-01-08|23
1/6/1953|1953-01-06|65
8/26/2004|2004-08-26|14
5/24/1963|1963-05-24|55
1/22/2008|2008-01-22|10
2/10/1997|1997-02-10|21
7/24/1996|1996-07-24|22
8/25/1946|1946-08-25|72
7/27/1976|1976-07-27|42
11/18/1943|1943-11-18|75
5/8/1990|1990-05-08|28
12/19/1982|1982-12-19|36
7/15/1940|1940-07-15|78
10/13/2015|2015-10-13|3
12/16/1938|1938-12-16|80
9/25/1971|1971-09-25|47
5/8/1951|1951-05-08|67
5/1/1938|1938-05-01|80
3/15/2015|2015-03-15|3
3/22/1950|1950-03-22|68
8/30/1996|1996-08-30|22
7/8/1960|1960-07-08|58
11/1/2008|2008-11-01|10
5/18/1966|1966-05-18|52
1/6/1962|1962-01-06|56
8/5/1970|1970-08-05|48
4/1/1993|1993-04-01|25
4/10/1996|1996-04-10|22
4/14/1985|1985-04-14|33
2/27/1986|1986-02-27|32
5/20/1981|1981-05-20|37
11/27/2002|2002-11-27|16
3/22/1962|1962-03-22|56
7/3/1979|1979-07-03|39
10/1/1971|1971-10-01|47
2/19/1941|1941-02-19|77
10/20/1981|1981-10-20|37
10/20/2013|2013-10-20|5
8/7/1983|1983-08-07|35
3/28/1950|1950-03-28|68
9/8/1991|1991-09-08|27
7/27/1957|1957-07-27|61
10/11/1962|1962-10-11|56
4/23/1948|1948-04-23|70
1/17/1973|1973-01-17|45
2/18/1955|1955-02-18|63
3/8/2003|2003-03-08|15
9/10/1946|1946-09-10|72
5/15/1959|1959-05-15|59
6/22/2006|2006-06-22|12
9/14/1988|1988-09-14|30
1/12/1946|1946-01-12|72
12/5/1934|1934-12-05|84
9/7/1995|1995-09-07|23
1/14/1992|1992-01-14|26
8/22/1938|1938-08-22|80
8/27/2015|2015-08-27|3
4/22/1957|1957-04-22|61
2/4/1961|1961-02-04|57
12/27/2007|2007-12-27|11
10/24/1984|1984-10-24|34
9/2/2016|2016-09-02|2
7/19/1983|1983-07-19|35
4/14/1991|1991-04-14|27
9/19/1998|1998-09-19|20
5/17/1969|1969-05-17|49
4/12/1939|1939-04-12|79
3/22/1957|1957-03-22|61
8/11/2004|2004-08-11|14
4/8/1971|1971-04-08|47
6/1/2010|2010-06-01|8
9/15/1981|1981-09-15|37
8/17/1967|1967-08-17|51
11/21/1999|1999-11-21|19
6/3/1952|1952-06-03|66
2/7/1991|1991-02-07|27
10/27/1962|1962-10-27|56
3/2/1973|1973-03-02|45
10/30/1955|1955-10-30|63
6/29/1939|1939-06-29|79
9/13/2001|2001-09-13|17
9/29/1979|1979-09-29|39
5/11/2011|2011-05-11|7
12/12/1996|1996-12-12|22
8/13/1976|1976-08-13|42
12/21/1988|1988-12-21|30
11/14/1941|1941-11-14|77
10/4/2001|2001-10-04|17
7/26/2009|2009-07-26|9
4/18/1992|1992-04-18|26
9/17/2003|2003-09-17|15
5/16/1981|1981-05-16|37
4/1/1984|1984-04-01|34
11/16/1935|1935-11-16|83
5/14/1978|1978-05-14|40
3/27/2001|2001-03-27|17
4/15/1977|1977-04-15|41
11/12/1959|1959-11-12|59
10/12/1979|1979-10-12|39
11/12/2001|2001-11-12|17
1/20/2013|2013-01-20|5
6/18/1949|1949-06-18|69
10/28/1969|1969-10-28|49
5/6/1980|1980-05-06|38
4/14/1993|1993-04-14|25
8/9/1939|1939-08-09|79
1/15/1943|1943-01-15|75
3/1/1987|1987-03-01|31
9/18/1946|1946-09-18|72
4/23/1952|1952-04-23|66
10/15/1971|1971-10-15|47
2/15/1962|1962-02-15|56
10/4/2010|2010-10-04|8
9/24/1956|1956-09-24|62
1/13/1947|1947-01-13|71
5/21/2009|2009-05-21|9
6/29/2010|2010-06-29|8
2/24/1992|1992-02-24|26
10/16/2015|2015-10-16|3
12/28/2017|2017-12-28|1
3/27/1974|1974-03-27|44
8/5/1976|1976-08-05|42
10/30/1963|1963-10-30|55
8/19/2001|2001-08-19|17
3/20/1980|1980-03-20|38
3/5/1959|1959-03-05|59
7/15/1975|1975-07-15|43
5/5/1969|1969-05-05|49
1/29/2000|2000-01-29|18
8/13/2008|2008-08-13|10
5/11/1993|1993-05-11|25
12/1/1977|1977-12-01|41
1/27/1948|1948-01-27|70
11/8/1943|1943-11-08|75
4/5/1975|1975-04-05|43
1/26/1989|1989-01-26|29
11/26/1949|1949-11-26|69
2/27/1995|1995-02-27|23
3/28/2002|2002-03-28|16
7/25/1943|1943-07-25|75
9/17/1989|1989-09-17|29
5/27/1940|1940-05-27|78
12/6/1938|1938-12-06|80
5/3/2017|2017-05-03|1
12/25/1946|1946-12-25|72
11/13/1961|1961-11-13|57
2/13/1989|1989-02-13|29
12/10/1995|1995-12-10|23
8/8/1955|1955-08-08|63
3/3/1965|1965-03-03|53
9/7/1949|1949-09-07|69
8/17/1958|1958-08-17|60
12/19/1966|1966-12-19|52
5/26/1973|1973-05-26|45
1/20/1995|1995-01-20|23
10/22/2003|2003-10-22|15
2/8/1985|1985-02-08|33
1/6/1947|1947-01-06|71
4/4/2006|2006-04-04|12
9/16/2004|2004-09-16|14
7/2/1938|1938-07-02|80
1/1/1965|1965-01-01|53
1/28/2005|2005-01-28|13
3/15/2008|2008-03-15|10
8/22/1933|1933-08-22|85
8/4/1958|1958-08-04|60
11/9/1993|1993-11-09|25
3/7/1944|1944-03-07|74
2/8/1954|1954-02-08|64
3/2/1974|1974-03-02|44
4/1/1954|1954-04-01|64
12/22/1956|1956-12-22|62
12/15/2014|2014-12-15|4
7/13/1938|1938-07-13|80
12/28/1977|1977-12-28|41
4/4/1997|1997-04-04|21
9/23/1994|1994-09-23|24
3/22/1993|1993-03-22|25
8/3/2015|2015-08-03|3
10/10/1971|1971-10-10|47
1/19/1990|1990-01-19|28
9/27/1969|1969-09-27|49
1/20/2000|2000-01-20|18
2/24/2001|2001-02-24|17
5/17/1947|1947-05-17|71
7/18/2007|2007-07-18|11
7/23/1953|1953-07-23|65
11/17/1967|1967-11-17|51
1/7/1975|1975-01-07|43
2/8/1984|1984-02-08|34
12/20/1954|1954-12-20|64
11/4/1945|1945-11-04|73
1/20/1952|1952-01-20|66
6/14/1995|1995-06-14|23
6/23/2007|2007-06-23|11
9/19/1982|1982-09-19|36
2/18/2013|2013-02-18|5
2/8/1986|1986-02-08|32
3/26/1948|1948-03-26|70
11/19/1933|1933-11-19|85
8/17/1947|1947-08-17|71
2/17/1972|1972-02-17|46
3/1/1938|1938-03-01|80
10/10/1984|1984-10-10|34
3/9/2000|2000-03-09|18
5/7/1973|1973-05-07|45
8/24/1981|1981-08-24|37
10/2/1996|1996-10-02|22
6/29/1961|1961-06-29|57
6/1/1939|1939-06-01|79
11/13/1977|1977-11-13|41
5/3/1977|1977-05-03|41
2/27/1959|1959-02-27|59
6/16/1972|1972-06-16|46
12/27/1952|1952-12-27|66
7/10/2017|2017-07-10|1
9/20/1959|1959-09-20|59
3/29/1962|1962-03-29|56
10/7/1992|1992-10-07|26
1/8/1992|1992-01-08|26
5/23/1991|1991-05-23|27
8/2/1937|1937-08-02|81
3/7/1987|1987-03-07|31
7/27/1947|1947-07-27|71
1/9/1999|1999-01-09|19
8/15/1990|1990-08-15|28
8/10/1957|1957-08-10|61
10/14/1996|1996-10-14|22
7/18/1957|1957-07-18|61
8/11/1945|1945-08-11|73
4/23/1975|1975-04-23|43
4/4/2013|2013-04-04|5
12/6/1986|1986-12-06|32
7/16/1933|1933-07-16|85
12/13/1965|1965-12-13|53
6/5/1957|1957-06-05|61
4/25/1936|1936-04-25|82
2/14/1985|1985-02-14|33
6/19/2008|2008-06-19|10
11/23/1941|1941-11-23|77
10/17/1957|1957-10-17|61
9/17/1947|1947-09-17|71
3/26/1986|1986-03-26|32
11/28/1984|1984-11-28|34
1/24/1957|1957-01-24|61
2/23/2011|2011-02-23|7
1/20/2017|2017-01-20|1
6/28/1967|1967-06-28|51
11/2/2001|2001-11-02|17
8/6/2011|2011-08-06|7
10/19/2016|2016-10-19|2
8/19/1965|1965-08-19|53
8/6/1984|1984-08-06|34
1/18/1948|1948-01-18|70
9/10/1967|1967-09-10|51
10/27/1980|1980-10-27|38
11/26/1998|1998-11-26|20
11/23/1965|1965-11-23|53
3/2/2012|2012-03-02|6
5/7/1985|1985-05-07|33
6/18/1967|1967-06-18|51
5/6/1962|1962-05-06|56
3/29/1957|1957-03-29|61
1/24/1995|1995-01-24|23
5/21/2003|2003-05-21|15
9/17/2016|2016-09-17|2
6/14/1941|1941-06-14|77
12/12/1956|1956-12-12|62
5/12/1990|1990-05-12|28
2/18/1958|1958-02-18|60
10/14/1958|1958-10-14|60
3/13/1980|1980-03-13|38
3/7/1978|1978-03-07|40
6/16/1934|1934-06-16|84
3/29/1943|1943-03-29|75
6/13/1993|1993-06-13|25
8/26/1970|1970-08-26|48
7/18/1944|1944-07-18|74
3/16/2007|2007-03-16|11
7/8/2013|2013-07-08|5
1/5/1955|1955-01-05|63
2/26/1967|1967-02-26|51
4/19/1984|1984-04-19|34
7/24/1975|1975-07-24|43
2/16/1957|1957-02-16|61
12/24/1981|1981-12-24|37
2/8/1958|1958-02-08|60
4/20/1966|1966-04-20|52
2/7/1958|1958-02-07|60
3/20/1933|1933-03-20|85
1/14/1956|1956-01-14|62
12/5/2010|2010-12-05|8
8/4/1992|1992-08-04|26
12/27/1974|1974-12-27|44
1/27/2007|2007-01-27|11
4/5/1954|1954-04-05|64
2/1/1967|1967-02-01|51
10/3/2008|2008-10-03|10
1/4/1985|1985-01-04|33
5/16/2011|2011-05-16|7
8/17/1974|1974-08-17|44
3/15/1936|1936-03-15|82
5/1/1979|1979-05-01|39
8/21/1980|1980-08-21|38
11/26/1934|1934-11-26|84
2/26/1961|1961-02-26|57
5/18/1941|1941-05-18|77
10/22/1934|1934-10-22|84
11/27/1988|1988-11-27|30
12/20/1997|1997-12-20|21
4/2/1982|1982-04-02|36
10/19/1985|1985-10-19|33
8/6/1957|1957-08-06|61
8/7/1952|1952-08-07|66
5/8/1983|1983-05-08|35
2/9/2015|2015-02-09|3
5/10/1938|1938-05-10|80
6/17/1957|1957-06-17|61
10/11/1971|1971-10-11|47
3/14/1995|1995-03-14|23
1/1/1961|1961-01-01|57
9/12/1946|1946-09-12|72
4/6/1942|1942-04-06|76
12/5/1991|1991-12-05|27
10/8/1936|1936-10-08|82
11/12/1940|1940-11-12|78
7/25/1978|1978-07-25|40
2/27/1964|1964-02-27|54
10/8/1980|1980-10-08|38
8/25/1938|1938-08-25|80
7/24/2017|2017-07-24|1
3/8/1964|1964-03-08|54
1/11/1980|1980-01-11|38
3/11/1941|1941-03-11|77
2/21/2013|2013-02-21|5
4/15/1948|1948-04-15|70
10/22/1942|1942-10-22|76
4/15/2011|2011-04-15|7
11/19/1943|1943-11-19|75
3/9/1970|1970-03-09|48
8/26/1985|1985-08-26|33
1/15/1970|1970-01-15|48
3/29/1933|1933-03-29|85
3/27/1997|1997-03-27|21
10/7/2006|2006-10-07|12
1/23/2006|2006-01-23|12
4/16/1980|1980-04-16|38
3/27/2014|2014-03-27|4
6/15/2004|2004-06-15|14
12/22/1960|1960-12-22|58
5/23/1994|1994-05-23|24
7/7/2015|2015-07-07|3
11/13/1956|1956-11-13|62
6/12/2000|2000-06-12|18
5/28/1991|1991-05-28|27
10/30/1990|1990-10-30|28
1/12/1935|1935-01-12|83
10/23/1993|1993-10-23|25
3/20/1950|1950-03-20|68
4/12/1976|1976-04-12|42
2/20/1942|1942-02-20|76
2/2/1972|1972-02-02|46
2/12/1981|1981-02-12|37
11/7/1958|1958-11-07|60
12/17/1974|1974-12-17|44
7/2/2003|2003-07-02|15
5/29/1991|1991-05-29|27
6/20/1957|1957-06-20|61
4/26/2017|2017-04-26|1
7/20/1934|1934-07-20|84
7/27/1956|1956-07-27|62
11/21/1971|1971-11-21|47
3/29/1982|1982-03-29|36
9/22/2008|2008-09-22|10
6/23/1962|1962-06-23|56
9/20/1996|1996-09-20|22
4/21/2002|2002-04-21|16
4/18/1995|1995-04-18|23
4/26/1962|1962-04-26|56
3/12/1968|1968-03-12|50
6/12/1990|1990-06-12|28
5/9/1967|1967-05-09|51
4/18/1961|1961-04-18|57
2/18/1994|1994-02-18|24
8/5/1944|1944-08-05|74
7/26/2006|2006-07-26|12
7/26/1951|1951-07-26|67
8/24/2013|2013-08-24|5
2/16/1935|1935-02-16|83
3/7/1982|1982-03-07|36
12/3/1959|1959-12-03|59
4/17/1937|1937-04-17|81
1/7/1970|1970-01-07|48
3/20/2014|2014-03-20|4
6/27/1977|1977-06-27|41
6/22/1979|1979-06-22|39
4/6/1974|1974-04-06|44
9/16/1937|1937-09-16|81
2/25/1954|1954-02-25|64
10/22/1968|1968-10-22|50
5/4/1939|1939-05-04|79
3/7/1970|1970-03-07|48
1/28/1982|1982-01-28|36
1/19/2009|2009-01-19|9
1/23/1959|1959-01-23|59
10/15/1956|1956-10-15|62
1/3/1960|1960-01-03|58
7/12/1960|1960-07-12|58
4/28/1993|1993-04-28|25
11/8/1945|1945-11-08|73
2/17/1956|1956-02-17|62
2/2/1944|1944-02-02|74
3/10/1981|1981-03-10|37
4/16/1995|1995-04-16|23
9/29/1970|1970-09-29|48
3/4/1977|1977-03-04|41
12/26/2004|2004-12-26|14
2/7/1937|1937-02-07|81
3/12/1998|1998-03-12|20
9/27/1960|1960-09-27|58
7/27/2002|2002-07-27|16
2/1/1942|1942-02-01|76
5/20/1987|1987-05-20|31
10/6/1994|1994-10-06|24
8/18/1942|1942-08-18|76
3/8/1954|1954-03-08|64
7/4/1962|1962-07-04|56
12/3/1938|1938-12-03|80
3/9/1943|1943-03-09|75
5/14/1941|1941-05-14|77
11/23/1973|1973-11-23|45
8/16/1937|1937-08-16|81
10/30/2003|2003-10-30|15
7/12/1961|1961-07-12|57
9/25/2010|2010-09-25|8
1/9/1933|1933-01-09|85
10/2/2002|2002-10-02|16
9/20/1937|1937-09-20|81
1/9/1971|1971-01-09|47
4/14/1979|1979-04-14|39
2/2/1958|1958-02-02|60
7/10/2003|2003-07-10|15
9/5/1988|1988-09-05|30
1/20/2002|2002-01-20|16
9/20/1952|1952-09-20|66
6/17/2013|2013-06-17|5
1/10/1945|1945-01-10|73
8/17/1941|1941-08-17|77
7/28/1978|1978-07-28|40
5/29/1979|1979-05-29|39
8/29/1976|1976-08-29|42
6/27/1958|1958-06-27|60
11/3/1977|1977-11-03|41
3/26/1995|1995-03-26|23
7/4/1950|1950-07-04|68
1/26/1985|1985-01-26|33
7/13/1943|1943-07-13|75
8/1/1945|1945-08-01|73
7/22/1984|1984-07-22|34
4/14/1994|1994-04-14|24
6/21/2008|2008-06-21|10
3/13/1985|1985-03-13|33
7/24/1942|1942-07-24|76
6/21/1988|1988-06-21|30
5/14/1996|1996-05-14|22
2/19/1955|1955-02-19|63
6/7/1946|1946-06-07|72
9/17/1988|1988-09-17|30
7/11/1946|1946-07-11|72
9/24/2017|2017-09-24|1
10/14/1990|1990-10-14|28
6/29/1954|1954-06-29|64
7/21/2010|2010-07-21|8
11/23/2016|2016-11-23|2
3/21/2014|2014-03-21|4
11/26/1989|1989-11-26|29
2/5/1984|1984-02-05|34
12/1/1933|1933-12-01|85
12/19/1993|1993-12-19|25
6/3/1956|1956-06-03|62
4/28/1991|1991-04-28|27
9/15/1980|1980-09-15|38
1/16/1980|1980-01-16|38
3/17/1967|1967-03-17|51
3/8/1997|1997-03-08|21
9/13/1968|1968-09-13|50
1/5/1992|1992-01-05|26
12/19/1936|1936-12-19|82
6/23/1987|1987-06-23|31
11/5/1965|1965-11-05|53
7/30/1967|1967-07-30|51
9/21/1989|1989-09-21|29
9/24/1940|1940-09-24|78
10/15/1981|1981-10-15|37
2/13/1953|1953-02-13|65
2/1/1963|1963-02-01|55
8/21/1960|1960-08-21|58
8/18/1998|1998-08-18|20
5/21/1951|1951-05-21|67
9/29/1957|1957-09-29|61
10/17/1995|1995-10-17|23
12/8/1967|1967-12-08|51
5/8/2002|2002-05-08|16
3/1/1958|1958-03-01|60
5/3/2013|2013-05-03|5
3/23/1936|1936-03-23|82
4/4/2014|2014-04-04|4
5/14/1951|1951-05-14|67
6/3/1973|1973-06-03|45
12/5/1970|1970-12-05|48
6/12/1973|1973-06-12|45
1/10/1979|1979-01-10|39
5/13/1951|1951-05-13|67
9/17/2011|2011-09-17|7
8/1/1944|1944-08-01|74
2/13/2000|2000-02-13|18
10/23/2012|2012-10-23|6
9/3/2013|2013-09-03|5
8/15/2001|2001-08-15|17
6/25/1964|1964-06-25|54
9/9/1996|1996-09-09|22
8/19/1945|1945-08-19|73
7/23/2015|2015-07-23|3
8/16/1977|1977-08-16|41
8/28/1976|1976-08-28|42
8/18/1955|1955-08-18|63
8/11/1986|1986-08-11|32
12/5/1951|1951-12-05|67
2/2/1981|1981-02-02|37
6/28/1939|1939-06-28|79
5/28/2001|2001-05-28|17
8/18/1992|1992-08-18|26
12/9/2003|2003-12-09|15
6/3/2017|2017-06-03|1
10/17/1981|1981-10-17|37
12/20/2013|2013-12-20|5
6/6/1991|1991-06-06|27
9/7/1980|1980-09-07|38
7/30/2016|2016-07-30|2
2/16/1934|1934-02-16|84
8/6/1963|1963-08-06|55
8/5/1954|1954-08-05|64
3/30/1939|1939-03-30|79
8/9/1934|1934-08-09|84
5/17/2010|2010-05-17|8
4/29/2004|2004-04-29|14
1/3/2010|2010-01-03|8
12/30/1960|1960-12-30|58
11/14/1962|1962-11-14|56
9/9/2008|2008-09-09|10
8/8/2006|2006-08-08|12
2/20/1954|1954-02-20|64
5/19/1950|1950-05-19|68
4/21/1937|1937-04-21|81
1/10/1983|1983-01-10|35
9/22/1985|1985-09-22|33
12/2/2000|2000-12-02|18
5/16/1969|1969-05-16|49
12/21/2001|2001-12-21|17
9/14/1993|1993-09-14|25
5/25/2015|2015-05-25|3
10/24/1947|1947-10-24|71
9/11/1944|1944-09-11|74
6/17/1990|1990-06-17|28
4/16/1937|1937-04-16|81
8/27/2014|2014-08-27|4
10/22/1997|1997-10-22|21
3/17/1948|1948-03-17|70
7/20/1988|1988-07-20|30
2/25/1945|1945-02-25|73
6/9/2006|2006-06-09|12
12/11/1977|1977-12-11|41
8/10/1969|1969-08-10|49
